EPCI	CAPACITE 2022	OUVERTURES 2022	FERMETURES 2021	EVOL NB	EVOL 2022-2021 %
CC Vallée des Baux-Alpilles (CC VBA)	326	22	42	-20	-0.0578034682080925
CA Terre de Provence	313	62	29	33	0.117857142857143
CC du Pays de Honfleur-Beuzeville	368	35	51	-16	-0.0416666666666666
CC Val ès Dunes	82	4	9	-5	-0.0574712643678161
CC Vallées de l'Orne et de l'Odon	127	0	29	-29	-0.185897435897436
CC Pré-Bocage Intercom	270	19	36	-17	-0.0592334494773519
CC Normandie-Cabourg-Pays d'Auge	264	8	45	-37	-0.122923588039867
CC Cœur de Nacre	230	30	24	6	0.0267857142857142
CC Terre d'Auge	311	30	35	-5	-0.0158227848101266
CC de Bayeux Intercom	366	54	49	5	0.0138504155124655
CC Seulles Terre et Mer	356	33	45	-12	-0.0326086956521739
CC Isigny-Omaha Intercom	623	17	97	-80	-0.113798008534851
CC Cœur Côte Fleurie	99	10	0	10	0.112359550561798
CU Caen la Mer	251	29	44	-15	-0.056390977443609
CC Intercom de la Vire au Noireau	272	8	63	-55	-0.168195718654434
CA Lisieux Normandie	520	48	88	-40	-0.0714285714285714
CC Cingal-Suisse Normande	350	9	37	-28	-0.0740740740740741
CC du Pays de Falaise	247	6	3	3	0.0122950819672132
CC du Pays de Salers	617	17	72	-55	-0.0818452380952381
CC Saint-Flour Communauté	593	18	134	-116	-0.16361071932299
CC Sumène - Artense	115	14	38	-24	-0.172661870503597
CC du Pays de Mauriac	117	0	12	-12	-0.0930232558139535
CC de la Châtaigneraie Cantalienne	505	18	104	-86	-0.145516074450085
CA du Bassin d'Aurillac	193	23	47	-24	-0.110599078341014
CC Cère et Goul en Carladès	349	13	23	-10	-0.0278551532033426
CC Hautes Terres Communauté	379	5	53	-48	-0.112412177985948
CC du Pays Gentiane	235	0	38	-38	-0.139194139194139
CC du Massif du Sancy	910	35	96	-61	-0.062821833161689
CC de Charente Limousine	163	0	28	-28	-0.146596858638743
CC La Rochefoucauld porte du Périgord	202	16	18	-2	-0.00980392156862742
