url_chaine	nom chaine	url groupe	nom groupe
https://hotels.ctrip.com/brand/h447/	爱尊客	https://hotels.ctrip.com/brand/g424	爱尊客
https://hotels.ctrip.com/brand/h582/	安缦(Aman Resorts)	https://hotels.ctrip.com/brand/g556	安缦
https://hotels.ctrip.com/brand/h592/	奥克伍德	https://hotels.ctrip.com/brand/g563	奥克伍德
https://hotels.ctrip.com/brand/h666/	艾居连锁	https://hotels.ctrip.com/brand/g610	艾居
https://hotels.ctrip.com/brand/h726/	Ascend Collection	https://hotels.ctrip.com/brand/g274	精选
https://hotels.ctrip.com/brand/h903/	阿帕（APA）	https://hotels.ctrip.com/brand/g743	阿帕
https://hotels.ctrip.com/brand/h947/	ASTOTEL	https://hotels.ctrip.com/brand/g769	阿斯托利亚
https://hotels.ctrip.com/brand/h996/	Azur	https://hotels.ctrip.com/brand/g788	藤田观光
https://hotels.ctrip.com/brand/h1040/	安麓	https://hotels.ctrip.com/brand/g804	安麓
https://hotels.ctrip.com/brand/h1065/	Amari (阿玛瑞)	https://hotels.ctrip.com/brand/g820	ONYX
https://hotels.ctrip.com/brand/h1066/	OZO (遨舍)	https://hotels.ctrip.com/brand/g820	ONYX
https://hotels.ctrip.com/brand/h1083/	ARYADUTA（阿雅度塔）	https://hotels.ctrip.com/brand/g832	阿雅度塔
https://hotels.ctrip.com/brand/h1095/	安榭	https://hotels.ctrip.com/brand/g327	御庭
https://hotels.ctrip.com/brand/h1099/	Airport Honolulu Hotel	https://hotels.ctrip.com/brand/g842	Outrigger
https://hotels.ctrip.com/brand/h1117/	AquaAston	https://hotels.ctrip.com/brand/g856	阿夸阿斯顿酒店
https://hotels.ctrip.com/brand/h1150/	AmericInn	https://hotels.ctrip.com/brand/g162	温德姆
https://hotels.ctrip.com/brand/h1161/	艾美(Le Meridien)	https://hotels.ctrip.com/brand/g22	万豪国际集团
https://hotels.ctrip.com/brand/h1176/	阿德吉奥特级公寓酒店（Adagio APARTHOTEL premium）	https://hotels.ctrip.com/brand/g10	雅高
https://hotels.ctrip.com/brand/h1235/	奥地利潮流酒店(Austria Trend)	https://hotels.ctrip.com/brand/g900	奥地利潮流酒店
https://hotels.ctrip.com/brand/h1260/	Allegro Hotels	https://hotels.ctrip.com/brand/g862	巴塞罗酒店集团
https://hotels.ctrip.com/brand/h1302/	遨游	https://hotels.ctrip.com/brand/g927	遨游
https://hotels.ctrip.com/brand/h1363/	AA连锁酒店	https://hotels.ctrip.com/brand/g414	尚美数智
https://hotels.ctrip.com/brand/h1381/	Adina Apartment Hotels	https://hotels.ctrip.com/brand/g965	TFE Hotels
https://hotels.ctrip.com/brand/h1389/	遨途	https://hotels.ctrip.com/brand/g968	环亚机场服务管理集团
https://hotels.ctrip.com/brand/h1390/	阿丽拉(Alila)	https://hotels.ctrip.com/brand/g12	凯悦
https://hotels.ctrip.com/brand/h1395/	奥华精品酒店	https://hotels.ctrip.com/brand/g972	奥华酒店集团
https://hotels.ctrip.com/brand/h1396/	奥华行旅	https://hotels.ctrip.com/brand/g972	奥华酒店集团
https://hotels.ctrip.com/brand/h1413/	安纳塔拉(Anantara)	https://hotels.ctrip.com/brand/g982	美诺酒店集团
https://hotels.ctrip.com/brand/h1414/	安凡尼(Avani)	https://hotels.ctrip.com/brand/g982	美诺酒店集团
https://hotels.ctrip.com/brand/h1452/	ABC Booking	https://hotels.ctrip.com/brand/g993	ABC Booking
https://hotels.ctrip.com/brand/h1467/	阿尔班	https://hotels.ctrip.com/brand/g1005	阿尔班酒店集团
https://hotels.ctrip.com/brand/h1517/	Airy Room	https://hotels.ctrip.com/brand/g1034	Airy Room
https://hotels.ctrip.com/brand/h1522/	Away Resorts and Villas	https://hotels.ctrip.com/brand/g1036	Cross Hotels and Resorts
https://hotels.ctrip.com/brand/h1539/	阿普汉森酒店集团	https://hotels.ctrip.com/brand/g1048	阿普汉森酒店集团
https://hotels.ctrip.com/brand/h1546/	AM度假村	https://hotels.ctrip.com/brand/g1052	苹果度假村集团
https://hotels.ctrip.com/brand/h1553/	安隅	https://hotels.ctrip.com/brand/g1056	安隅
https://hotels.ctrip.com/brand/h1575/	艾扉	https://hotels.ctrip.com/brand/g1	首旅如家
https://hotels.ctrip.com/brand/h1614/	ATURA	https://hotels.ctrip.com/brand/g1081	EVENT HOSPITALITY & ENTERTAINMENT
https://hotels.ctrip.com/brand/h1669/	Art Series	https://hotels.ctrip.com/brand/g10	雅高
https://hotels.ctrip.com/brand/h1685/	爱电竞	https://hotels.ctrip.com/brand/g1100	爱电竞
https://hotels.ctrip.com/brand/h1726/	爱迪星	https://hotels.ctrip.com/brand/g1110	core global management
https://hotels.ctrip.com/brand/h1733/	Aiden by Best Western	https://hotels.ctrip.com/brand/g30	贝斯特韦斯特国际酒店集团
https://hotels.ctrip.com/brand/h1748/	Avid	https://hotels.ctrip.com/brand/g32	洲际酒店集团
https://hotels.ctrip.com/brand/h1749/	Atwell Suites	https://hotels.ctrip.com/brand/g32	洲际酒店集团
https://hotels.ctrip.com/brand/h1754/	A点酒店	https://hotels.ctrip.com/brand/g1114	A点连锁酒店
https://hotels.ctrip.com/brand/h1755/	阿缇客	https://hotels.ctrip.com/brand/g319	开元
https://hotels.ctrip.com/brand/h1793/	A&E	https://hotels.ctrip.com/brand/g1127	A&E酒店集团
https://hotels.ctrip.com/brand/h1798/	阿佩克斯酒店	https://hotels.ctrip.com/brand/g1131	Apex酒店集团
https://hotels.ctrip.com/brand/h1810/	ALFA Resort	https://hotels.ctrip.com/brand/g825	欧米茄
https://hotels.ctrip.com/brand/h1829/	ASTON	https://hotels.ctrip.com/brand/g821	群岛酒店集团
https://hotels.ctrip.com/brand/h1854/	Amaris	https://hotels.ctrip.com/brand/g822	桑提卡
https://hotels.ctrip.com/brand/h1858/	art'otel	https://hotels.ctrip.com/brand/g131	丽笙
https://hotels.ctrip.com/brand/h1865/	澳斯特	https://hotels.ctrip.com/brand/g729	雅阁
https://hotels.ctrip.com/brand/h1896/	阿莱曼	https://hotels.ctrip.com/brand/g1156	伊玛尔酒店集团
https://hotels.ctrip.com/brand/h1917/	安全住宿	https://hotels.ctrip.com/brand/g1168	安全住宿
https://hotels.ctrip.com/brand/h1943/	阿迪瓦纳	https://hotels.ctrip.com/brand/g1187	Adiwana Hotels and Resorts
https://hotels.ctrip.com/brand/h1944/	阿马塔拉	https://hotels.ctrip.com/brand/g1187	Adiwana Hotels and Resorts
https://hotels.ctrip.com/brand/h1950/	Amba Hotels	https://hotels.ctrip.com/brand/g1192	GLH大伦敦酒店管理集团
https://hotels.ctrip.com/brand/h1959/	艾垦酒店	https://hotels.ctrip.com/brand/g1197	深圳兰兹酒店集团
